Price,Model Year,Mileage,Eng_Cap,City_Lahore,City_Islamabad,City_Karachi,City_Un-Registered,Eng_Type_Petrol,Eng_Type_Hybrid,Eng_Type_Diesel,Transmission_Manual,Transmission_Automatic,Body_Type_Hatchback,Body_Type_Sedan,Body_Type_SUV,Body_Type_Mini Van,Body_Type_Crossover,Make_Suzuki,Make_Toyota,Make_Honda,Make_Daihatsu,Make_Nissan
1720000.0,2018,28575,1000,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1650000.0,2014,80000,1000,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1960000.0,2010,80000,1800,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
1120000.0,2013,220000,660,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
650000.0,2006,123456,1000,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2790000.0,2014,90520,1800,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1490000.0,2014,63200,660,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
250000.0,1993,500000,1300,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
2600000.0,2016,52000,1600,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
3800000.0,2010,215000,3000,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1275000.0,2006,105000,1000,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
5000000.0,2012,100000,2500,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1630000.0,2015,680000,660,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
8700000.0,2017,5900,1400,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1300000.0,2012,65000,660,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
3850000.0,2015,35000,1800,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
13899999.999999998,2012,75000,4000,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1725000.0,2008,90000,1500,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2875000.0,2018,37000,1500,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
9175000.0,2014,61118,2500,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3400000.0,2019,4000,1600,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
